초급,가게,에 가다,명사
초급,가격03,이 비싸다,명사
초급,가구04,책상,명사
초급,가깝다,거리가,형용사
초급,가끔,가끔 보다,부사
초급,가늘다,손가락이,형용사
초급,가다01,학교에,동사
초급,가득01,가득 담다,부사
초급,가르치다01,한국어를,동사
초급,가리키다01,손가락으로,동사
초급,가방01,을 메다,명사
초급,가볍다,짐이,형용사
초급,가수11,직업,명사
초급,가슴01,신체,명사
초급,가요02,를 부르다,명사
초급,가운데,가운데 자리,명사
초급,가위01,로 자르다,명사
초급,가을01,계절,명사
초급,가장01,가장 빠르다,부사
초급,가져가다,집에,동사
초급,가져오다,학교로,동사
초급,가족01,식구,명사
초급,가지04,몇,의존명사
초급,가지다,돈을,동사
초급,각각01,각각 다르다,부사/명사
초급,간단하다02,간단한 설명,형용사
초급,간단히,간단히 끝내다,부사
초급,간식02,을 먹다,명사
초급,간장01,을 넣다,명사
초급,간호사,로 일하다,명사
초급,갈비01,를 먹다,명사
초급,갈비탕,을 먹다,명사
초급,갈색,색깔,명사
초급,갈아입다,옷을,동사
초급,갈아타다,기차를,동사
초급,감01,과일,명사
초급,감기04,에 걸리다,명사
초급,감기약,을 먹다,명사
초급,감다01,눈을,동사
초급,감다02,머리를,동사
초급,감사08,감사 인사,명사
초급,감자01,채소,명사
초급,갑자기,갑자기 나타나다,부사
초급,값,을 깎다,명사
초급,강01,을 건너다,명사
초급,강아지,를 키우다,명사
초급,강하다02,힘이,형용사
초급,갖다01,돈을,동사
초급,같다,서로 같다,형용사
초급,같이,같이 살다,부사
초급,갚다,돈을,동사
초급,개03,동물,명사
초급,개10,한 개,의존명사
초급,개월,삼 개월,의존명사
초급,거01,것,의존명사
초급,거기01,거기에 있다,대명사
초급,거리01,로 나가다,명사
초급,거리08,가 가깝다,명사
초급,거실02,집,명사
초급,거울01,을 보다,명사
초급,거의01,거의 없다,부사/명사
초급,거절01,을 하다,명사
초급,거짓말,을 하다,명사
초급,걱정,이 되다,명사
초급,건강03,이 나빠지다,명사
초급,건너가다,길을,동사
초급,건너다,길을,동사
초급,건너편,으로 가다,명사
초급,건물03,을 짓다,명사
초급,걷다02,길을,동사
초급,걸다02,그림을,동사
초급,걸리다01,그림이,동사
초급,걸어가다,학교에,동사
초급,걸어오다01,집에,동사
초급,걸음,이 느리다,명사
초급,검사03,숙제 검사,명사
초급,검은색,색깔,명사
초급,검정01,색깔,명사
초급,것01,먹을 것,의존명사
초급,겉01,안과 겉,명사
초급,게으르다,사람이,형용사
초급,게임,컴퓨터 게임,명사
초급,겨울,계절,명사
초급,결과02,가 나오다,명사
초급,결석01,을 하다,명사
초급,결심01,을 하다,명사
초급,결정01,을 내리다,명사
초급,결혼,을 하다,명사
초급,결혼식,을 올리다,명사
초급,경기11,를 보다,명사
초급,경찰04,경찰 조사(기관),명사
초급,경찰서,에 신고하다,명사
초급,경치02,가 좋다,명사
초급,경험,을 쌓다,명사
초급,계단04,을 오르다,명사
초급,계란,을 먹다,명사
초급,계산01,이 정확하다,명사
초급,계속04,계속 달리다,부사/명사
초급,계시다,한국에,동사
초급,계절01,이 바뀌다,명사
초급,계획01,을 세우다,명사
초급,고개01,를 들다,명사
초급,고기01,를 먹다,명사
초급,고등학교,에 입학하다,명사
초급,고등학생,이 되다,명사
초급,고르다01,선물을,동사
초급,고맙다01,마음이,형용사
초급,고모01,친척,명사
초급,고민,을 나누다,명사
초급,고속버스,를 타다,명사
초급,고양이,를 기르다,명사
초급,고장11,이 나다,명사
초급,고추장,을 넣다,명사
초급,고치다01,컴퓨터를,동사
초급,고프다,배가,형용사
초급,고향02,에 가다,명사
초급,곧01,곧 가다,부사
초급,곳01,어느 곳,명사
초급,공01,을 굴리다,명사
초급,공무원,으로 일하다,명사
초급,공부01,를 하다,명사
초급,공원03,에서 놀다,명사
초급,공장02,에서 일하다,명사
초급,공짜,로 주다,명사
초급,공책01,에 쓰다,명사
초급,공항02,공항 터미널,명사
초급,공휴일,로 정하다,명사
초급,과거03,를 잊다,명사
초급,과일01,을 깎다,명사
초급,과자02,를 먹다,명사
초급,관계05,를 맺다,명사
초급,관광02,국내 관광,명사
초급,관광객,외국인 관광객,명사
초급,관광지,국내 관광지,명사
초급,관심01,을 가지다,명사
초급,광고02,신문 광고,명사
초급,광주01,지명,명사
초급,괜찮다,성격이,형용사
초급,괴로워하다,통증으로,동사
초급,교과서,에서 배우다,명사
초급,교사09,수학 교사,명사
초급,교수06,대학 교수,명사
초급,교실,에 들어가다,명사
초급,교육,을 받다,명사
초급,교통01,교통 수단,명사
초급,교통비,가 들다,명사
초급,교통사고,가 나다,명사
초급,교환01,을 하다,명사
초급,교회02,기독교,명사
초급,구01,숫자,수사/관형사
초급,구경01,을 다니다,명사
초급,구두01,를 신다,명사
초급,구름01,이 끼다,명사
초급,구십,구십 살,수사/관형사
초급,구월02,달(월),명사
초급,국01,을 끓이다,명사
초급,국내02,국내 여행,명사
초급,국수01,를 먹다,명사
초급,국적02,대한민국 국적,명사
초급,국제02,국제 관계,명사
초급,군인,직업 군인,명사
초급,굳다,땅이,동사/형용사
초급,굵다,손가락이,형용사
초급,굽다01,고기를,동사
초급,궁금하다01,소식이,형용사
초급,권01,책 한 권,의존명사
초급,귀01,로 듣다,명사
초급,귀걸이,를  달다,명사
초급,귀여워하다,강아지를,동사
초급,귀엽다,얼굴이,형용사
초급,귀찮다,일이,형용사
초급,규칙02,을 어기다,명사
초급,귤,을 까다,명사
초급,그01,그 사람,관형사/대명사
초급,그거,그것,대명사
초급,그것,−,대명사
초급,그곳,에 가다,대명사
초급,그날,그날 일,명사
초급,그냥,그냥 가다,부사
초급,그대로,그대로 두다,부사
초급,그동안,그동안 잘 지내다,명사
초급,그때,그때 그시절,명사
초급,그래01,대답,감탄사
초급,그래서,−,부사
초급,그러나,−,부사
초급,그러니까,−,부사
초급,그러면,−,부사
초급,그러므로,−,부사
초급,그런01,그런 사람,관형사
초급,그런데,−,부사
초급,그럼01,그러면,부사
초급,그럼02,"그럼, 당연하지",감탄사
초급,그렇다,사정이,형용사
초급,그렇지만,−,부사
초급,그릇01,에 담다,명사
초급,그리고,−,부사
초급,그리다02,그림을,동사
초급,그림01,을 그리다,명사
초급,그립다,가족이,형용사
초급,그만02,그만 먹다,부사
초급,그만두다,학교를,동사
초급,그분,을 만나다,대명사
초급,그저께,그저께 밤,부사/명사
초급,그쪽,으로 가다,대명사
초급,그치다,비가,동사
초급,극장,에서 상영하다,명사
초급,근처,집 근처,명사
초급,글,을 쓰다,명사
초급,글쎄01,"글쎄, 잘 몰라요",감탄사
초급,글쎄요,글쎄요. 몰라요.,감탄사
초급,글씨,를 쓰다,명사
초급,글자,를 쓰다,명사
초급,금방01,방금,부사
초급,금요일,요일,명사
초급,금지04,통행 금지,명사
초급,급하다,사정이,형용사
초급,기간07,이 지나다,명사
초급,기다리다,버스를,동사
초급,기르다,개를,동사
초급,기름01,에 튀기다,명사
초급,기말시험,을 보다,명사
초급,기분01,이 좋다,명사
초급,기뻐하다,졸업을,동사
초급,기쁘다,마음이,형용사
초급,기쁨,을 나누다,명사
초급,기숙사,에서 살다,명사
초급,기억02,이 나다,명사
초급,기억나다,이름이,동사
초급,기온,이 높다,명사
초급,기자05,신문 기자,명사
초급,기차01,를 타다,명사
초급,기차역,에 도착하다,명사
초급,기차표,를 끊다,명사
초급,기침01,이 나다,명사
초급,기타02,를 치다,명사
초급,기회03,를 놓치다,명사
초급,긴장,을 풀다,명사
초급,길01,이 막히다,명사
초급,길다02,다리가,형용사
초급,길이01,를 재다,명사
초급,김03,을 먹다,명사
초급,김밥,을 싸다,명사
초급,김치01,를 담그다,명사
초급,김치찌개,를 끓이다,명사
초급,깊다,바다가,형용사
초급,깊이02,깊이 묻다,부사
초급,까만색,색깔,명사
초급,까맣다,밤하늘이,형용사
초급,깎다,사과를,동사
초급,깜짝02,깜짝 놀라다,부사
초급,깨끗이,깨끗이 씻다,부사
초급,깨끗하다,옷이 ,형용사
초급,깨다01,잠이,동사
초급,꺼내다,가방에서,동사
초급,껌,을 씹다,명사
초급,꼭03,꼭 필요하다,부사
초급,꽃01,이 피다,명사
초급,꽃다발,을 선물하다,명사
초급,꽃병,을 깨뜨리다,명사
초급,꽃집,을 열다,명사
초급,꾸다01,꿈을,동사
초급,꿈01,을 꾸다,명사
초급,끄다01,불을,동사
초급,끊다,담배를,동사
초급,끓다,물이,동사
초급,끓이다01,물을,동사
초급,끝01,시작,명사
초급,끝나다,수업이,동사
초급,끝내다,일을,동사
초급,끼다01,반지를,동사
초급,나03,나와 너,대명사/명사
초급,나가다,밖으로,동사
초급,나누다,둘로,동사
초급,나다01,수염이,동사
초급,나라01,우리 나라,명사
초급,나머지,나머지 돈,명사
초급,나무01,를 심다,명사
초급,나쁘다01,공기가,형용사
초급,나오다,밖에,동사
초급,나이01,가 많다,명사
초급,나중01,에 깨닫다,명사
초급,나타나다,건물이,동사
초급,나흘,이 걸리다,명사
초급,낚시,를 가다,명사
초급,날01,마지막 날,명사/의존명사
초급,날다01,새가,동사
초급,날씨01,가 좋다,명사
초급,날씬하다,몸매가,형용사
초급,날아다니다,나비가,동사
초급,날짜01,를 정하다,명사
초급,남01,타인,명사
초급,남기다,음식을,동사
초급,남녀,남녀 평등,명사
초급,남다01,시간이,동사
초급,남대문,고적,명사
